dc:title,dc:creator,prism:publicationName,prism:doi,citedby-count,openaccessFlag,affilname,affiliation-city,affiliation-country,abstract,processedAbstract
The impact of co-inventor networks on smart cleantech innovation: The case of montreal agglomeration,Turkina E.,Sustainability (Switzerland),10.3390/su13137270,12,True,HEC Montréal,Montreal,Canada,"We use patent big data and apply a combination of network analysis techniques to explore the social structure of the Montreal tech community and its embeddedness in the global innovation landscape. In particular, we focus on the smart cleantech segment. In doing so, we analyze the effect of inventor collaborations on innovations and the emergence of smart clean technologies and smart sustainable solutions in Montreal and their global impact. Our analysis reveals the importance of both local and international ties for the general development of innovations in Montreal’s competitive urban economy, with a stronger impact of international ties, in generating smart cleantech innovations. We discuss the implications of our findings for smart cleantech and cleantech clusters and for further development of tech agglomerations.","['explore', 'stronger', 'use', 'community', 'effect', 'international', 'reveals', 'local', 'network', 'discuss', 'montreal', 'tech', 'segment', 'clusters', 'combination', 'collaborations', 'general', 'importance', 'emergence', 'sustainable', 'embeddedness', 'implications', 'solutions', 'global', 'smart', 'generating', 'social', 'apply', 'cleantech', 'ties', 'agglomerations', 'innovation', 'innovations', 'inventor', 'patent', 'economy', 'landscape', 'analyze', 'technologies', 'clean', 'techniques', 'structure', 'particular', 'competitive', 'montreals', 'focus']"
Three decades of research on smart cities: Mapping knowledge structure and trends,Sharifi A.,Sustainability (Switzerland),10.3390/su13137140,59,True,Hiroshima University,Higashihiroshima,Japan,"The concept of smart cities has gained significant momentum in science and policy circles over the past decade. This study aims to provide an overview of the structure and trends in the literature on smart cities. Bibliometric analysis and science mapping techniques using VOSviewer and CiteSpace are used to identify the thematic focus of over 5000 articles indexed in the Web of Science since 1991. In addition to providing insights into the thematic evolution of the field, the three-decade study period is divided into two sub-periods (1991–2015 and 2016–2021). While splitting the dataset into more sub-periods would have been desirable, we decided to only examine two sub-periods as only very few papers have been published until 2010. The annual number of publications has progressively increased since then, with a surge in the annual number of publications observable from 2015 onwards. The thematic analysis showed that the intellectual base of the field has been very limited during the first period, but has expanded significantly since 2015. Over time, some thematic evolutions, such as further attention to linkages to climate change and resilience, and more emphasis on security and privacy issues, have been made. The thematic analysis shows that existing research on smart cities is dominated by either conceptual issues or underlying technical aspects. It is, therefore, essential to do more research on the implementation of smart cities and actual and/or potential contributions of smart cities to solving societal issues. In addition to elaborating on thematic focus, the study also highlights major authors, journals, references, countries, and institutions that have contributed to the development of the smart cities literature.","['insights', 'desirable', 'identify', 'made', 'solving', 'literature', 'essential', 'cities', 'annual', 'andor', 'policy', 'dataset', 'highlights', 'splitting', 'examine', 'therefore', 'science', 'institutions', 'showed', 'past', 'observable', 'technical', 'overview', 'threedecade', 'gained', 'concept', 'decade', 'major', 'increased', 'techniques', 'subperiods', 'security', 'surge', 'published', 'contributions', 'climate', 'focus', 'references', 'evolution', 'decided', 'expanded', 'vosviewer', 'articles', 'dominated', 'implementation', 'elaborating', 'addition', 'web', 'number', 'emphasis', 'aspects', 'momentum', 'evolutions', 'societal', 'mapping', 'two', 'potential', 'since', 'thematic', 'journals', 'either', 'field', 'papers', 'significantly', 'circles', 'trends', 'limited', 'aims', 'divided', 'change', 'privacy', 'onwards', 'smart', 'resilience', 'intellectual', 'significant', 'progressively', 'would', 'first', 'base', 'structure', 'time', 'existing', 'attention', 'providing', 'period', 'indexed', 'linkages', 'shows', 'citespace', 'contributed', 'actual', 'conceptual', 'bibliometric', 'publications', 'authors', 'provide', 'underlying', 'countries', 'issues']"
"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China",Wu R.,Cities,10.1016/j.cities.2021.103202,65,False,Guangdong University of Technology,Guangzhou,China,"The significant economic development witnessed in China in recent decades has been accompanied by the increasing expansion of urban areas. Although a growing literature has analyzed the characteristics and driving forces of urban land expansion, less attention has been paid to examining the different expansion determinants driving fine-scale urban land use (residential land, administration and public services land, commercial land, and industrial land) change. This paper aims to identify the differences of multi-mechanisms driving fine-scale urban land use expansion based on big data and machine learning, in the Huizhou downtown area in 2000–2015. The Random Forest (RF) algorithm is used to identify the natural, transportation, location, social, and POI factors driving land expansion by considering different urban land-use categories. Our RF estimations showed that enormous differences existed between various urban land-use types in terms of the role they played in this expansion and their relation to potential determinants, during the different urban development stages studied. Transportation, location, and the distribution of actual land use were found to exert a greater influence on urban land expansion than other factors. All the findings above provide detailed spatiotemporal knowledge and targeted information that can aid in understanding fine-scale urban land use dynamics. In this way, sound planning strategies for different fine-scale land uses can be formulated more scientifically. The strength of association between these factors and urban land expansion differed greatly depending on the different land-use types involved as well as the urban development stage that it occurred within. These results cast a new light on the importance of investigating the potential driving forces in the expansion of different urban land-use types.","['greatly', 'relation', 'increasing', 'sound', 'identify', 'finescale', 'distribution', 'literature', 'less', 'services', 'expansion', 'characteristics', 'differences', 'transportation', 'spatiotemporal', 'stages', 'poi', 'witnessed', 'commercial', 'social', 'showed', 'formulated', 'considering', 'area', 'location', 'various', 'landuse', 'residential', 'factors', 'dynamics', 'economic', 'paid', 'multimechanisms', 'huizhou', 'rf', 'learning', 'light', 'way', 'strength', 'terms', 'forces', 'existed', 'studied', 'exert', 'machine', 'administration', 'decades', 'natural', 'within', 'analyzed', 'involved', 'use', 'estimations', 'greater', 'potential', 'well', 'enormous', 'driving', 'examining', 'determinants', 'importance', 'different', 'types', 'aims', 'algorithm', 'categories', 'change', 'role', 'significant', 'depending', 'aid', 'areas', 'land', 'industrial', 'targeted', 'public', 'growing', 'scientifically', 'attention', 'played', 'cast', 'although', 'downtown', 'recent', 'strategies', 'actual', 'found', 'influence', 'random', 'accompanied', 'forest', 'association', 'stage', 'detailed', 'investigating', 'provide', 'uses', 'new', 'differed', 'occurred']"
Framework for smart city model composition: Choice of component design models and risks,Chun S.A.,International Journal of E-Planning Research,10.4018/IJEPR.20210701.oa4,7,True,The City University of New York,New York,United States,"This paper is a reflective overview of the knowledge on online conversion of services in the perspective of urban planning. It points that traditional planning aimed at building optimal spatial relationships between particular functions in urban environment. Appropriate decision-making rules had been introduced, contributing to a hierarchical land-use structure. This conventional approach has been recently challenged by the rapid ICT development which added a lively, virtual, non-spatial dimension of urban economy. The well-established foundations of urban planning started to shake, calling for a new paradigm. This paper looks for an alternative to traditional planning which would be able to develop policies for omnichannel services (i.e., enterprises that use both online and offline channels for communicating and distributing their products). The advantages of 'e-planning' in managing omnichannel services are outlined and a conclusion is drawn that only a multi-channel approach can bring appropriate answers to contemporary developments in services sector.","['appropriate', 'building', 'lively', 'use', 'conversion', 'virtual', 'able', 'ie', 'recently', 'added', 'alternative', 'started', 'bring', 'traditional', 'dimension', 'sector', 'functions', 'challenged', 'rapid', 'offline', 'eplanning', 'services', 'products', 'points', 'environment', 'communicating', 'ict', 'wellestablished', 'answers', 'aimed', 'policies', 'channels', 'optimal', 'foundations', 'contributing', 'calling', 'rules', 'shake', 'managing', 'enterprises', 'perspective', 'would', 'overview', 'introduced', 'advantages', 'relationships', 'economy', 'decisionmaking', 'paradigm', 'reflective', 'develop', 'drawn', 'online', 'multichannel', 'developments', 'new', 'conclusion', 'structure', 'particular', 'conventional', 'nonspatial', 'looks', 'contemporary', 'omnichannel', 'distributing', 'outlined', 'hierarchical', 'landuse']"
Polycentric Urban Development and its Determinants in China: A Geospatial Big Data Perspective,Lv Y.,Geographical Analysis,10.1111/gean.12236,21,False,School of Information Engineering,Beijing,China,"The urban structure of large Chinese cities has been well researched, but a systematic analysis of polycentric urban development and the determinants of subcenter formation across municipal districts in cities at the prefectural level and above (PLACMD) is lacking. Using geospatial big data and spatial analysis methods, we measure the urban spatial structure of all 294 PLACMDs to determine the polycentric urban structure in China and conduct an exploratory regression analysis of 59 PLACMDs (due to data restrictions) to explore the formation of polycentric cities. Our results suggest that using location-based data allows for a timelier and more accurate center identification of detailed urban structural features than using other data. Each PLACMD in China has at least one center, and polycentricity is currently the most common urban spatial structure. PLACMDs with higher populations are more polycentric. Compared with the results obtained from large American urban areas, our regression results imply that population alone accounts for most of the variation in the polycentric index and that commuting costs provide a weak explanation of the existence of Chinese PLACMDs. Both economic development and agglomeration economics are associated with the polycentric index. In contrast, the topographical features are statistically nonsignificant in the regression model.","['imply', 'structural', 'explore', 'existence', 'economic', 'timelier', 'polycentricity', 'obtained', 'measure', 'formation', 'polycentric', 'well', 'municipal', 'cities', 'systematic', 'determinants', 'index', 'locationbased', 'restrictions', 'one', 'accounts', 'explanation', 'across', 'conduct', 'nonsignificant', 'regression', 'due', 'districts', 'placmds', 'weak', 'least', 'variation', 'allows', 'american', 'prefectural', 'populations', 'features', 'detailed', 'costs', 'topographical', 'currently', 'researched', 'suggest', 'chinese', 'statistically', 'agglomeration', 'common', 'level', 'accurate', 'areas', 'provide', 'identification', 'exploratory', 'geospatial', 'center', 'determine', 'subcenter', 'compared', 'associated', 'structure', 'economics', 'population', 'commuting', 'lacking', 'large', 'placmd', 'alone', 'contrast', 'higher']"
A new data-enabled intelligence framework for evaluating urban space perception,Ji H.,ISPRS International Journal of Geo-Information,10.3390/ijgi10060400,19,True,Sichuan University,Chengdu,China,"The urban environment has a great impact on the wellbeing of citizens and it is of great significance to understand how citizens perceive and evaluate places in a large scale urban region and to provide scientific evidence to support human-centered urban planning with a better urban environment. Existing studies for assessing urban perception have primarily relied on low efficiency methods, which also result in low evaluation accuracy. Furthermore, there lacks a sophisticated understanding on how to correlate the urban perception with the built environment and other socio-economic data, which limits their applications in supporting urban planning. In this study, a new data-enabled intelligence framework for evaluating human perceptions of urban space is proposed. Specifically, a novel classification-then-regression strategy based on a deep convolutional neural network and a random-forest algorithm is proposed. The proposed approach has been applied to evaluate the perceptions of Beijing and Chengdu against six perceptual criteria. Meanwhile, multi-source data were employed to investigate the associations between human perceptions and the indicators for the built environment and socio-economic data including visual elements, facility attributes and socio-economic indicators. Experimental results show that the proposed framework can effectively evaluate urban perceptions. The associations between urban perceptions and the visual elements, facility attributes and a socio-economic dimension have also been identified, which can provide substantial inputs to guide the urban planning for a better urban space.","['convolutional', 'environment', 'wellbeing', 'dataenabled', 'perceptual', 'applications', 'furthermore', 'supporting', 'studies', 'lacks', 'guide', 'primarily', 'intelligence', 'significance', 'support', 'deep', 'perceive', 'beijing', 'neural', 'including', 'facility', 'specifically', 'limits', 'region', 'six', 'applied', 'understand', 'socioeconomic', 'human', 'associations', 'randomforest', 'substantial', 'criteria', 'accuracy', 'sophisticated', 'space', 'novel', 'low', 'efficiency', 'humancentered', 'effectively', 'multisource', 'great', 'proposed', 'scale', 'evaluate', 'dimension', 'result', 'visual', 'evaluating', 'algorithm', 'show', 'perception', 'perceptions', 'scientific', 'classificationthenregression', 'existing', 'identified', 'assessing', 'indicators', 'network', 'places', 'citizens', 'attributes', 'chengdu', 'employed', 'experimental', 'meanwhile', 'built', 'strategy', 'relied', 'better', 'elements', 'provide', 'new', 'inputs', 'correlate', 'large', 'investigate']"
"Spatial Characteristics and Influencing Factors of Urban Resilience from the Perspective of Daily Activity: A Case Study of Nanjing, China",Sun H.,Chinese Geographical Science,10.1007/s11769-021-1201-0,10,True,Nanjing University,Nanjing,China,"Based on the connotation of urban resilience and the main contradictions of China’s urbanization, urban resilience is placed within the main daily activities contradictory scene of the urban man-land system to build a theoretical framework of urban activity resilience. Relying on geographic big data, this study identifies the spatial characteristics of activity resilience, reveals the impact of activity environment on activity resilience in Nanjing, and proposes countermeasures. The main conclusions are as follows. 1) Activity resilience presents a composite spatial structure of circles and clusters, and most areas are resilient but at a low level. 2) There are significantly positive and negative global autocorrelation between activity resilience and activity scale, and activity stability. Simultaneously, there also exists a local spatial autocorrelation with the opposite positive and negative trends. 3) Activity environment has a significant effect on activity resilience, and the degree and direction of influence among different dimensions and regions are heterogeneous. 4) For activity resilience, it is necessary to increase the matching degree between the scale and stability of activities, and reduce the excessive concentration and flow of activities. For the activity environment, it is necessary to improve the accessibility of the ecological environment, strengthen the high-quality supply of the infrastructure environment, optimize the balance of the location environment, and promote the inclusiveness of the social environment.","['strengthen', 'simultaneously', 'follows', 'characteristics', 'autocorrelation', 'build', 'environment', 'proposes', 'exists', 'geographic', 'composite', 'urbanization', 'excessive', 'social', 'direction', 'theoretical', 'regions', 'location', 'presents', 'highquality', 'optimize', 'effect', 'reveals', 'countermeasures', 'ecological', 'clusters', 'improve', 'degree', 'system', 'placed', 'contradictory', 'among', 'level', 'manland', 'contradictions', 'low', 'activities', 'relying', 'within', 'reduce', 'inclusiveness', 'scale', 'identifies', 'scene', 'significantly', 'circles', 'opposite', 'trends', 'accessibility', 'different', 'positive', 'main', 'resilience', 'heterogeneous', 'significant', 'chinas', 'negative', 'areas', 'connotation', 'daily', 'structure', 'balance', 'increase', 'resilient', 'stability', 'local', 'dimensions', 'flow', 'concentration', 'conclusions', 'promote', 'influence', 'supply', 'global', 'activity', 'nanjing', 'infrastructure', 'matching', 'necessary']"
Evaluation of Spatial Matching between Urban Green Space and Population: Dynamics Analysis of Winter Population Data in Xi'an,Li J.,Journal of Urban Planning and Development,10.1061/(ASCE)UP.1943-5444.0000685,12,False,Northwest University,Xi'an,China,"From the perspective of city dynamics, the spatial matching relationships between urban green space (UGS) and population are of great significance to the construction of an eco-livable city. In this study, Xi'an was taken as an example based on the big data of Google images and a Baidu heat map. The spatial matching relationships between UGS and the population were explored by using the coupled coordination model through the service capability index and population density index. The results show that there is a higher coupling degree, a lower coordination degree, and a larger spatiotemporal heterogeneity in coordination type between UGS and population in Xi'an. The reason for this is that many factors including urban spatial structure, expansion mode, functional differentiation, distribution pattern of large-scale ruins and relic sites, and urban planning management and control each have significant impacts on the spatial matching between UGS and population. Therefore, for the dense urban habitat, it is necessary not only to consider the spatial differences of job-housing and urban location conditions but also to actively protect the existing UGS, improve its accessibility, and enhance its quality. The dynamic evaluation of spatial matching between UGS and population is based on big data, which can maximize the utility of UGS resources in the dense urban habitat and provide theoretical guidance for spatial optimization, planning, and design.","['pattern', 'lower', 'actively', 'distribution', 'map', 'enhance', 'density', 'expansion', 'differences', 'spatiotemporal', 'relic', 'heat', 'therefore', 'coupled', 'larger', 'largescale', 'theoretical', 'resources', 'location', 'dynamic', 'significance', 'factors', 'xian', 'ruins', 'dynamics', 'construction', 'green', 'ugs', 'index', 'improve', 'including', 'quality', 'degree', 'guidance', 'service', 'many', 'example', 'baidu', 'ecolivable', 'coupling', 'perspective', 'relationships', 'space', 'population', 'capability', 'dense', 'higher', 'great', 'management', 'type', 'consider', 'city', 'accessibility', 'google', 'show', 'reason', 'functional', 'sites', 'significant', 'structure', 'existing', 'taken', 'protect', 'control', 'coordination', 'habitat', 'maximize', 'jobhousing', 'mode', 'explored', 'utility', 'conditions', 'impacts', 'provide', 'differentiation', 'optimization', 'matching', 'necessary', 'images', 'heterogeneity']"
Understanding urban centers in Shanghai with big data: Local and non-local function perspectives,Yan L.,Cities,10.1016/j.cities.2021.103156,16,False,Singapore-MIT Alliance for Research and Technology,Singapore City,Singapore,"Along with the rising space-of-flow, non-local functions are identified as a comparable force to local urban-hinterland relations that determine urban development. However, little evidence and explanation have been presented for how urban centers (UCs) are made of local and non-local functions. By examining the case of Shanghai, this paper endeavors to fill the gap with multiple big/open datasets. We first identify UCs using a new method as well as employment/activity densities inferred from cell phone data. Then, local and non-local forces are measured using functional and interaction metrics derived from theoretical deduction based on classic economic-space theories. Our result demonstrates that non-local functions have become a comparable force as local functions. Spatial analyses show that non-local functions generally agglomerate in about 30 UCs (27%) in the inner-ring Puxi area, presumably indicating a locational preference for local services and demand; local functions are distributed more like the central places diagram in Isard (1956). Additionally, specialization analysis of UCs shows clear evidence that non-local functions cause both centralization and decentralization in UCs, which can be well explained by the deductive theoretical patterns. This paper contributes to the literature of urban spatial structure with new evidence as well as a generic theoretical explanation and transferable methodologies.","['theories', 'deduction', 'identify', 'made', 'multiple', 'like', 'diagram', 'inferred', 'literature', 'agglomerate', 'generally', 'locational', 'services', 'deductive', 'cause', 'datasets', 'endeavors', 'theoretical', 'fill', 'innerring', 'area', 'interaction', 'spaceofflow', 'ucs', 'analyses', 'explained', 'puxi', 'centers', 'derived', 'cell', 'metrics', 'comparable', 'decentralization', 'forces', 'relations', 'measured', 'preference', 'nonlocal', 'determine', 'distributed', 'urbanhinterland', 'along', 'presented', 'centralization', 'method', 'well', 'functions', 'examining', 'bigopen', 'patterns', 'explanation', 'result', 'transferable', 'phone', 'classic', 'show', 'functional', 'force', 'isard', 'economicspace', 'employmentactivity', 'gap', 'first', 'demand', 'structure', 'clear', 'little', 'identified', 'case', 'densities', 'shanghai', 'central', 'local', 'generic', 'places', 'shows', 'rising', 'methodologies', 'presumably', 'specialization', 'become', 'demonstrates', 'contributes', 'indicating', 'new', 'additionally']"
Measuring policy debate in a regrowing city by sentiment analysis using online media data: A case study of Leipzig 2030,Chen Y.,Regional Science Policy and Practice,10.1111/rsp3.12292,6,True,Lab of Interdisciplinary Spatial Analysis,Cambridge,United Kingdom,"In a time of data science, online crowdsourced data and advanced data analytics would be a waste of resources and knowledge if these tools wouldn't assist urban planning. This paper uses sentiment analysis to understand policy debates' present in online media in a re-urbanized city and discusses how these tools and new datasets can help planners and inform new waves of policy by including groups that tend to be underrepresented in traditional consultation meetings. Modern reurbanization is an emergent phenomenon that occurs in cities that experienced urban shrinkage in the past decades. Urban policies proposed to the “new” regrowing cities should meet challenges of old shrinking consequences and new regrowing demands. Nowadays, policy-makers need to hear the voice from different age groups, some use new, non-traditional media in policy debates. Online media data has the potential to provide quasi-live feedbacks, to supply the traditional opinion surveys. We applied sentiment analysis in the selected case - the Integrated Urban Development Concept (INSEK) Leipzig 2030 – to evaluate public opinion. While results show that public attention was low, the policy seems to be welcome, with the public showing more interests in regrowth topics than shrinkage issues.","['inform', 'surveys', 'groups', 'cities', 'age', 'policy', 'welcome', 'datasets', 'meetings', 'challenges', 'demands', 'science', 'past', 'crowdsourced', 'resources', 'concept', 'online', 'seems', 'shrinking', 'wouldnt', 'present', 'experienced', 'debates', 'waves', 'including', 'insek', 'topics', 'applied', 'occurs', 'selected', 'understand', 'regrowing', 'interests', 'help', 'emergent', 'sentiment', 'reurbanization', 'low', 'decades', 'hear', 'nowadays', 'shrinkage', 'use', 'policymakers', 'potential', 'proposed', 'traditional', 'evaluate', 'regrowth', 'city', 'different', 'reurbanized', 'modern', 'media', 'policies', 'quasilive', 'meet', 'nontraditional', 'show', 'tools', 'feedbacks', 'would', 'leipzig', 'underrepresented', 'consultation', 'voice', 'public', 'time', 'old', 'attention', 'consequences', 'case', 'opinion', 'integrated', 'tend', 'phenomenon', 'advanced', 'planners', 'showing', 'discusses', 'assist', 'need', 'supply', 'provide', 'waste', 'uses', 'analytics', 'new', 'issues']"
Location selection and correlation characteristics of chain stores against the background of new retail,Zhang Y.,Tropical Geography,10.13284/j.cnki.rddl.003353,3,False,East China Normal University,Shanghai,China,"Research on the spatial relationship of retail activities is a hot topic in urban geography. With the continuous upgrade of Internet technology, the development mode of business has evolved from the traditional retail model into the e-commerce model, and now the new retail model. While the new retail model influences the locational decision-making behavior of enterprises, it also affects the intrinsic mechanism of attraction and avoidance among retail stores, which in turn affects the spatial association relationship of commercial retail. In such a context, we take the Starbucks, COSTA, and Luckin Coffee stores in Shanghai's inner ring as our research objects, and use a variety of spatial statistical methods and field research to analyze the spatial correlation characteristics among the three. The results show that, first, the spatial distribution of coffee stores under both traditional and new retail models generally exhibit the spatially oriented characteristics of being close to the consumer market. Therefore, it can be indirectly inferred that although Luckin Coffee, which is characterized by new retail, can create ""infinite space"" to meet consumers' consumption needs in different spaces by virtue of its own Internet development advantage, it remains difficult to completely break away from the spatial orientation of the offline consumption market. Second, in terms of spatial agglomeration, Starbucks' high sensitivity to specific consumer groups and its sales strategy of providing a comfortable environment have led the business to open stores in dense proximity in locations with high consumption potential, thus contributing to its strongest spatial agglomeration. Luckin Coffee, by contrast, has a certain degree of flexibility in choosing store locations due to its independent instant delivery service, and in order to occupy a wider market as soon as possible, it chooses store locations in favor of uniform coverage, resulting in the weakest degree of spatial agglomeration. Third, based on multivariate spatial statistics, it can be seen that Starbucks, COSTA, and Luckin coffee stores all exhibit positive spatial relationship characteristics in the two corresponding spatial relationships. Among them, traditional coffee retailers Starbucks and COSTA show a more obvious spatial relationship of mutual attraction, indicating that both can increase their market shares by converting the fierce price competition between them into an attraction drive to increase their total profits. At the same time, the stores of traditional retailer Starbucks and new retailer Luckin Coffee also show a significant spatial relationship of mutual attraction in space, indicating that the market share effect dominates. Finally, micro-location analysis reveals that Starbucks and COSTA stores have a stronger mutual attraction relationship and often appear in pairs in the center of shopping districts or business areas, while Luckin Coffee stores are often located in ""non-central"" areas. As a representative of new retail, Luckin Coffee can make up for its location disadvantage to a certain extent by virtue of its mobile application online service and instant delivery service. The store can also utilize its Internet platform, big data analysis, and other technical advantages, so that it can combine its own product positioning characteristics when choosing store locations, and accurately find potential store locations and opening models. Therefore, when carrying out urban planning, especially the planning of commercial areas, attention should be paid to the impact of the new retail model on location selection, the role of the Internet, and big data in location decision making. The development possibilities of traditionally weaker locations should be explored, and the efficiency of urban land use should be improved.","['shares', 'located', 'affects', 'distribution', 'statistical', 'correlation', 'inferred', 'groups', 'characterized', 'favor', 'indirectly', 'high', 'ecommerce', 'offline', 'generally', 'locational', 'characteristics', 'environment', 'resulting', 'utilize', 'decision', 'districts', 'locations', 'consumer', 'thus', 'avoidance', 'behavior', 'ring', 'therefore', 'mobile', 'led', 'commercial', 'topic', 'occupy', 'market', 'enterprises', 'technical', 'agglomeration', 'specific', 'opening', 'decisionmaking', 'share', 'shopping', 'online', 'location', 'certain', 'dominates', 'third', 'contrast', 'representative', 'business', 'wider', 'possible', 'costa', 'paid', 'selection', 'effect', 'relationship', 'reveals', 'completely', 'second', 'corresponding', 'away', 'weaker', 'difficult', 'statistics', 'carrying', 'advantage', 'degree', 'technology', 'turn', 'service', 'possibilities', 'making', 'terms', 'weakest', 'appear', 'starbucks', 'choosing', 'consumption', 'among', 'instant', 'extent', 'advantages', 'relationships', 'space', 'delivery', 'oriented', 'proximity', 'multivariate', 'traditionally', 'dense', 'accurately', 'efficiency', 'independent', 'retailer', 'activities', 'obvious', 'find', 'two', 'use', 'retail', 'potential', 'make', 'coffee', 'traditional', 'retailers', 'virtue', 'close', 'inner', 'field', 'total', 'stores', 'mechanism', 'different', 'chooses', 'positive', 'mutual', 'show', 'coverage', 'take', 'meet', 'comfortable', 'profits', 'variety', 'fierce', 'role', 'contributing', 'flexibility', 'significant', 'remains', 'influences', 'orientation', 'store', 'intrinsic', 'finally', 'often', 'areas', 'product', 'land', 'center', 'first', 'drive', 'models', 'especially', 'time', 'increase', 'sales', 'attention', 'consumers', 'stronger', 'providing', 'exhibit', 'although', 'noncentral', 'spatially', 'combine', 'create', 'internet', 'objects', 'hot', 'shanghais', 'needs', 'competition', 'pairs', 'continuous', 'three', 'disadvantage', 'due', 'break', 'improved', 'infinite', 'mode', 'converting', 'explored', 'sensitivity', 'platform', 'association', 'strategy', 'indicating', 'price', 'order', 'microlocation', 'strongest', 'uniform', 'analyze', 'positioning', 'context', 'seen', 'soon', 'new', 'attraction', 'luckin', 'upgrade', 'evolved', 'open', 'geography', 'spaces']"
Spatial accessibility of park green space in Huangpu District of Shanghai based on modified two-step floating catchment area method,Ren J.,Progress in Geography,10.18306/dlkxjz.2021.05.005,27,True,Shanghai Jiao Tong University,Shanghai,China,"In order to solve the problem of unbalanced supply and demand of park green space in high density cities, this study used a Gaussian based two-step floating catchment area method to analyze the spatial accessibility of existing park green space in Huangpu District of Shanghai, under walking conditions. First, we extracted the point of interest (POI) data of residential areas from the Internet and aggregated them into a 100 m long hexagonal cellular network to calculate the number of people and population density, then through the Application Programming Interface (API) of Baidu Map we extracted the travel time between supply and demand points based on actual road conditions. Second, the paper took the park green space built by the end of 2018 in Huangpu District of Shanghai as an example, and considered the four aspects of residents' demand, accessibility classification, cold and hot spots, and blank areas. The results show that the accessibility level of park green space in Huangpu District is higher in the north and lower in the south, which is negatively correlated with the population density distribution. The dominant blind areas (9.16% of the total area) and the recessive blind areas (16.5% of the total area) should be eliminated. This study made a quantitative analysis on the supply and demand allocation, to provide guidance for the further optimization of green space layout and site selection. Finally, recommendations were made from three aspects of ""increasing green space appropriately"", ""strengthening the quality of existing green space"" and ""community co-governance"", in order to provide theoretical support for the Fourteenth Five-Year Plan of greening Huangpu District.","['increasing', 'made', 'lower', 'distribution', 'cogovernance', 'greening', 'map', 'cities', 'high', 'density', 'took', 'poi', 'blind', 'theoretical', 'appropriately', 'negatively', 'area', 'fiveyear', 'api', 'layout', 'residential', 'district', 'correlated', 'selection', 'support', 'blank', 'second', 'plan', 'problem', 'recessive', 'green', 'catchment', 'points', 'interface', 'quality', 'guidance', 'number', 'four', 'point', 'strengthening', 'example', 'baidu', 'twostep', 'aspects', 'north', 'spots', 'level', 'floating', 'residents', 'aggregated', 'space', 'recommendations', 'population', 'interest', 'higher', 'travel', 'quantitative', 'community', 'method', 'allocation', 'total', 'accessibility', 'eliminated', 'show', 'calculate', 'walking', 'classification', 'areas', 'finally', 'programming', 'huangpu', 'demand', 'first', 'gaussian', 'time', 'existing', 'considered', 'cellular', 'end', 'extracted', 'shanghai', 'south', 'network', 'internet', 'park', 'hot', 'actual', 'site', 'three', 'solve', 'long', 'cold', 'unbalanced', 'built', 'road', 'people', 'supply', 'order', 'conditions', 'provide', 'analyze', 'dominant', 'optimization', 'fourteenth', 'hexagonal']"
Advances in urban planning in developing nations: Data analytics and technology,Jana A.,Advances in Urban Planning in Developing Nations: Data Analytics and Technology,10.4324/9781003091370,0,False,Indian Institute of Technology Bombay,Mumbai,India,"This book studies the increasing use of data analytics and technology in urban planning and development in developing nations. It examines the application of urban science and engineering in different sectors of urban planning and looks at the challenges involved in planning 21st-century cities, especially in India. The volume analyzes various key themes such as auditory/visual sensing, network analysis and spatial planning, and decision-making and management in the planning process. It also studies the application of big data, geographic information systems, and information and communications technology in urban planning. Finally, it provides data-driven approaches toward holistic and optimal urban solutions for challenges in transportation planning, housing, and conservation of vulnerable urban zones like coastal areas and open spaces. Well supplemented with rigorous case studies, the book will be of interest to scholars and researchers of architecture, architectural and urban planning, and urban analytics. It will also be useful for professionals involved in smart city planning, planning authorities, urban scientists, and municipal and local bodies.","['developing', 'communications', 'book', 'case', 'increasing', 'analyzes', 'involved', 'sectors', 'use', 'systems', 'supplemented', 'holistic', 'like', 'useful', 'local', 'authorities', 'well', 'management', 'network', 'municipal', 'vulnerable', 'cities', 'engineering', 'zones', 'transportation', 'city', 'different', 'india', 'provides', 'coastal', 'technology', 'examines', 'themes', 'rigorous', 'geographic', 'challenges', 'researchers', 'scholars', 'professionals', 'science', 'optimal', 'smart', 'architectural', 'solutions', 'toward', 'scientists', 'studies', 'approaches', 'volume', 'architecture', 'nations', 'areas', 'finally', 'housing', 'conservation', 'decisionmaking', 'bodies', 'spaces', 'analytics', 'especially', 'various', 'looks', 'open', 'auditoryvisual', 'key', 'sensing', 'interest', 'datadriven']"
