dc:title,dc:creator,prism:publicationName,prism:doi,citedby-count,openaccessFlag,affilname,affiliation-city,affiliation-country,abstract,processedAbstract,processedAbstract_str
Emotion &amp; stress mapping: Assembling an ambient geographic information-based methodology in order to understand smart cities,De Oliveira T.H.M.,"2015 10th Iberian Conference on Information Systems and Technologies, CISTI 2015",10.1109/CISTI.2015.7170469,17,False,"NOVA Information Management School, Universidade Nova de Lisboa",Lisbon,Portugal,"A smart city aims to improve urban functions and provided services, being often perceived as a living urban fabric, in which connected urban citizens, acting as active sensors, have the capacity to contribute even more efficiently to the spatial intelligence of cities. This 'immaterial' dimension is related with the need that smart cities have to assess their citizen's feelings, perception and well-being, giving rise to an emotion-aware city. Mapping emotion builds on a tradition of studies in cognitive mapping, evaluative mapping, environmental preference and environmental affect, adding an approach in which people experience, evaluate and describe their environment 'in situ' through social media. This paper aims to present an Ambient Geographic Information (AGI) approach to assemble geo-tagged data from Twitter, Flickr, Instagram and Facebook related with people's perception and feelings regarding Lisbon (Portugal), and therefore characterize its emotional dimension, by comparing these subjective observations with objective measurements (such as socio-demographic statistics, questionnaires and data retrieved from biometric sensors). With this vision of a smart city, that is capable to interpret and harnessing the emotional states of its citizens, it is essential to find new methods and techniques to sensing affect in an urban context.","['immaterial', 'information', 'environmental', 'context', 'sensing', 'questionnaire', 'objective', 'sensor', 'build', 'find', 'mapping', 'assemble', 'improve', 'experience', 'rise', 'city', 'even', 'emotional', 'provided', 'environment', 'twitter', 'facebook', 'dimension', 'vision', 'perception', 'fabric', 'agi', 'citizen', 'sociodemographic', 'measurement', 'harnessing', 'regarding', 'preference', 'intelligence', 'statistic', 'people', 'contribute', 'approach', 'living', 'emotionaware', 'evaluate', 'study', 'biometric', 'medium', 'characterize', 'service', 'observation', 'emotion', 'flickr', 'efficiently', 'smart', 'lisbon', 'active', 'state', 'wellbeing', 'data', 'interpret', 'urban', 'need', 'adding', 'social', 'new', 'present', 'portugal', 'perceived', 'instagram', 'capacity', 'spatial', 'tradition', 'feeling', 'ambient', 'geographic', 'cognitive', 'connected', 'method', 'giving', 'acting', 'subjective', 'describe', 'essential', 'people', 'retrieved', 'capable', 'therefore', 'often', 'technique', 'comparing', 'geotagged', 'assess', 'paper', 'function', 'city', 'related', 'affect', 'situ', 'evaluative', 'aim']",immaterial information environmental context sensing questionnaire objective sensor build find mapping assemble improve experience rise city even emotional provided environment twitter facebook dimension vision perception fabric agi citizen sociodemographic measurement harnessing regarding preference intelligence statistic people contribute approach living emotionaware evaluate study biometric medium characterize service observation emotion flickr efficiently smart lisbon active state wellbeing data interpret urban need adding social new present portugal perceived instagram capacity spatial tradition feeling ambient geographic cognitive connected method giving acting subjective describe essential people retrieved capable therefore often technique comparing geotagged assess paper function city related affect situ evaluative aim
Spatial variation of the urban taxi ridership using GPS data,Qian X.,Applied Geography,10.1016/j.apgeog.2015.02.011,218,False,Lyles School of Civil Engineering,West Lafayette,United States,"Taxicab is an important component of urban transit system since it caters to a large amount of demand and covers a wide geographic area. In this paper, we understand the spatial variation of urban taxi ridership using large scale New York City (NYC) taxi data. The taxi ridership is analyzed by relating it to various spatially explicit socio-demographic and built-environment variables. The geographically weighted regression (GWR) is implemented to model the spatial heterogeneity of the taxi ridership and visualize the spatial distributions of parameter estimations. The results suggest that the GWR model outperforms the ordinary least square model in both goodness of model fit and explanatory accuracy. The urban form is revealed to have significant impact on urban taxi ridership and strong spatial variability for parameter estimations is observed. Medium income level is found to reduce the number of taxi trips at particular places and the accessibility to subways is positively associated with the taxi ridership. The results provide valuable insights for predicting taxi demand as a function of spatially explicit variables which may have implications on taxi pricing, taxi industry regulation and urban planning.","['goodness', 'result', 'insight', 'particular', 'valuable', 'may', 'function', 'regulation', 'least', 'trip', 'relating', 'regression', 'accuracy', 'various', 'model', 'number', 'significant', 'reduce', 'demand', 'estimation', 'important', 'ridership', 'system', 'area', 'amount', 'level', 'caters', 'place', 'sociodemographic', 'heterogeneity', 'using', 'visualize', 'medium', 'revealed', 'suggest', 'weighted', 'since', 'understand', 'positively', 'provide', 'square', 'implemented', 'builtenvironment', 'spatially', 'planning', 'scale', 'taxi', 'income', 'parameter', 'associated', 'distribution', 'large', 'data', 'variation', 'urban', 'wide', 'pricing', 'strong', 'new', 'variability', 'implication', 'impact', 'predicting', 'spatial', 'analyzed', 'accessibility', 'observed', 'ordinary', 'explicit', 'geographic', 'nyc', 'subway', 'variable', 'industry', 'transit', 'outperforms', 'cover', 'geographically', 'fit', 'found', 'component', 'gwr', 'paper', 'city', 'york', 'taxicab', 'explanatory', 'form']",goodness result insight particular valuable may function regulation least trip relating regression accuracy various model number significant reduce demand estimation important ridership system area amount level caters place sociodemographic heterogeneity using visualize medium revealed suggest weighted since understand positively provide square implemented builtenvironment spatially planning scale taxi income parameter associated distribution large data variation urban wide pricing strong new variability implication impact predicting spatial analyzed accessibility observed ordinary explicit geographic nyc subway variable industry transit outperforms cover geographically fit found component gwr paper city york taxicab explanatory form
The Evolution of Natural Cities from the Perspective of Location-Based Social Media,Jiang B.,Professional Geographer,10.1080/00330124.2014.968886,105,False,Hogskolan i Gavle,Gavle,Sweden,"This article examines the former location-based social medium Brightkite, over its three-year life span, based on the concept of natural cities. The term natural cities refers to spatially clustered geographic events, such as the agglomerated patches aggregated from individual social media users’ locations. We applied the head/tail division rule to derive natural cities, based on the fact that there are far more low-density areas than high-density areas on the Earth's surface. More specifically, we generated a triangulated irregular network, made up of individual unique user locations, and then categorized small triangles (smaller than an average) as natural cities for the United States (mainland) on a monthly basis. The concept of natural cities provides a powerful means to develop new insights into the evolution of real cities, because there are virtually no data available to track the history of cities across their entire life spans and at very fine spatial and temporal scales. Therefore, natural cities can act as a good proxy of real cities, in the sense of understanding underlying interactions, at a global level, rather than of predicting cities, at an individual level. Apart from the data produced and the contributed methods, we established new insights into the structure and dynamics of natural cities; for example, the idea that natural cities evolve in nonlinear manners at both spatial and temporal dimensions.","['virtually', 'interaction', 'proxy', 'insight', 'real', 'evolve', 'fact', 'available', 'irregular', 'provides', 'act', 'division', 'structure', 'derive', 'user', 'mainland', 'city', 'produced', 'example', 'aggregated', 'specifically', 'level', 'based', 'surface', 'categorized', 'small', 'event', 'triangle', 'idea', 'location', 'life', 'locationbased', 'span', 'underlying', 'examines', 'applied', 'span', 'natural', 'evolution', 'medium', 'article', 'powerful', 'history', 'patch', 'united', 'brightkite', 'established', 'rather', 'highdensity', 'clustered', 'threeyear', 'entire', 'spatially', 'medium', 'unique', 'understanding', 'refers', 'agglomerated', 'contributed', 'rule', 'generated', 'area', 'average', 'track', 'term', 'state', 'network', 'data', 'basis', 'social', 'mean', 'new', 'temporal', 'scale', 'develop', 'predicting', 'lowdensity', 'manner', 'spatial', 'former', 'sense', 'geographic', 'headtail', 'good', 'triangulated', 'global', 'user', 'method', 'fine', 'apart', 'concept', 'individual', 'earth', 'nonlinear', 'monthly', 'smaller', 'therefore', 'across', 'far', 'dimension', 'made', 'dynamic']",virtually interaction proxy insight real evolve fact available irregular provides act division structure derive user mainland city produced example aggregated specifically level based surface categorized small event triangle idea location life locationbased span underlying examines applied span natural evolution medium article powerful history patch united brightkite established rather highdensity clustered threeyear entire spatially medium unique understanding refers agglomerated contributed rule generated area average track term state network data basis social mean new temporal scale develop predicting lowdensity manner spatial former sense geographic headtail good triangulated global user method fine apart concept individual earth nonlinear monthly smaller therefore across far dimension made dynamic
Getting out of a spot: Deployed technologies and revamped codes for a thriving twenty-first-century city,Norman M.,Journal of Urban History,10.1177/0096144214563505,0,False,Syracuse University,Syracuse,United States,"With the rise of the automobile and the easy access to suburbia, there was a shift in American cities from accommodating and welcoming density to accommodating cars. With cities hollowed out, but able to accept thousands of parkers, a vibrant, multifaceted world of handsome buildings, varied activities, and casual encounters was lost. Innovative thinking regarding technology took a backseat to mimicking the ascendant suburban landscape. At the dawn of the twenty-first century, automotive access remains codified in finance, codes, and traditional thinking, hampering our now revitalizing urban environments. Practitioners, policy makers, and architects can once again create cities at once unique, welcoming, and at the forefront of innovative thinking. New technologies, smart phone applications, and entrepreneurial initiative are changing urban life. By systematizing these disparate innovations, the necessary elements for vibrant streetscapes and better urban form can be created.","['shift', 'hampering', 'encounter', 'code', 'traditional', 'automotive', 'better', 'american', 'maker', 'able', 'application', 'accommodating', 'lost', 'car', 'unique', 'welcoming', 'century', 'necessary', 'backseat', 'parker', 'streetscapes', 'initiative', 'practitioner', 'architect', 'phone', 'created', 'forefront', 'smart', 'multifaceted', 'automobile', 'mimicking', 'life', 'innovative', 'codified', 'dawn', 'building', 'hollowed', 'activity', 'finance', 'changing', 'thousand', 'suburban', 'suburbia', 'create', 'environment', 'regarding', 'urban', 'took', 'technology', 'handsome', 'casual', 'remains', 'density', 'world', 'vibrant', 'policy', 'systematizing', 'new', 'easy', 'ascendant', 'revitalizing', 'rise', 'accept', 'landscape', 'element', 'access', 'entrepreneurial', 'city', 'technology', 'innovation', 'twentyfirst', 'form', 'varied', 'thinking', 'disparate']",shift hampering encounter code traditional automotive better american maker able application accommodating lost car unique welcoming century necessary backseat parker streetscapes initiative practitioner architect phone created forefront smart multifaceted automobile mimicking life innovative codified dawn building hollowed activity finance changing thousand suburban suburbia create environment regarding urban took technology handsome casual remains density world vibrant policy systematizing new easy ascendant revitalizing rise accept landscape element access entrepreneurial city technology innovation twentyfirst form varied thinking disparate
Smart urbanism and digital activism in Southern Italy,Di Bella A.,"Emerging Issues, Challenges, and Opportunities in Urban E-Planning",10.4018/978-1-4666-8150-7.ch006,7,False,Università degli Studi di Catania,Catania,Italy,"This chapter debates the competing approaches of the smart city model. It starts by critically discussing top-down approaches, focusing on influence of neoliberal urban experimentation, the role of dominant social interests, the reduction of the city and of urban citizenship, and the risks linked with its uncritical assumption. Then, attention shifts on counter-geographies of digital urbanism drawn from below by citizens, communities, and social movements, as part of a fragmented landscape of activism engaged in building alternative and bottom-up approaches of the smart city. Making use of the case study of a city in southern Italy, Catania, the aim of the chapter is threefold since it discusses the critical aspects linked with dissemination of smart city model as a means for investigating the evolutionary neoliberalization developed in southern Italy during last decades, the influence of neoliberal scripts of urban planning on policy practices, and then the potential alternative activities of digital urbanism hold for a more human-centered and socially embedded smart city. & 2015, IGI Global, All rights reserved.","['decade', 'critical', 'dominant', 'role', 'discusses', 'risk', 'catania', 'topdown', 'digital', 'experimentation', 'model', 'threefold', 'movement', 'script', 'reserved', 'socially', 'potential', 'building', 'uncritical', 'investigating', 'debate', 'engaged', 'citizen', 'activity', 'start', 'neoliberalization', 'focusing', 'policy', 'critically', 'shift', 'since', 'use', 'practice', 'alternative', 'neoliberal', 'attention', 'planning', 'influence', 'southern', 'aspect', 'humancentered', 'right', 'linked', 'smart', 'drawn', 'activism', 'citizenship', 'urban', 'social', 'mean', 'dissemination', 'discussing', 'embedded', 'italy', 'aim', 'fragmented', 'urbanism', 'global', 'hold', 'competing', 'assumption', 'community', 'evolutionary', 'chapter', 'case', 'approach', 'reduction', 'developed', 'bottomup', 'part', 'city', 'landscape', 'making', 'study', 'last', 'igi', 'countergeographies', 'interest']",decade critical dominant role discusses risk catania topdown digital experimentation model threefold movement script reserved socially potential building uncritical investigating debate engaged citizen activity start neoliberalization focusing policy critically shift since use practice alternative neoliberal attention planning influence southern aspect humancentered right linked smart drawn activism citizenship urban social mean dissemination discussing embedded italy aim fragmented urbanism global hold competing assumption community evolutionary chapter case approach reduction developed bottomup part city landscape making study last igi countergeographies interest
E-Governance for Smart Cities,Kumar T.M.V.,Advances in 21st Century Human Settlements,10.1007/978-981-287-287-6_1,21,False,New Delhi (SPA-D),Kozhikode,India,"This chapter ‘E-Governance for Smart City’ is intended to give conceptual clarity of the subject matter of the book. The chapter is expected to give broad direction to the book. Until now E-Governance literature is dominated by authors who are computer scientists and IT specialists since there are several technical issues to be solved (like, for example, big data management) but this book takes a departure and will be authored by domain specialists related to city. We are jointly working out the emerging E-Governance System for Smart City from the point of view of urban domain specialists such as specialists in urban development, urban planning, climate change, carbon accounting, water Governance, energy governance, public realm and so on. To start with definition of E-Governance and E-Government is collated from different organizations point of view. Then how consumers of Governance, such as Citizen, Government and Business benefit from E-Governance is enumerated. Further, it traces five distinct phases of E-Governance development such as Phase-1(1996–1999): Basic Web Presence, Phase-2(1997–2000): Interactive web, Phase-3(1998–2003): Transaction web, Phase-4(2000–2005): Integrative and Transformation web and Phase- 5(2005+): Smart City Governance web. Prior to 2005 there has been rapid transition in phases but with the emergence of phase-5, there is a trend in stabilization of urban E-Governance. This chapter enumerates new functional specialization of E-Governance in different phases and discusses Smart City E-Governance System and its prime requirements.","['citizen', 'accounting', 'conceptual', 'jointly', 'technical', 'energy', 'author', 'discusses', 'rapid', 'benefit', 'prior', 'water', 'issue', 'interactive', 'change', 'definition', 'realm', 'view', 'system', 'functional', 'example', 'expected', 'emergence', 'basic', 'book', 'domain', 'give', 'phase', 'government', 'transaction', 'trend', 'enumerated', 'departure', 'since', 'authored', 'management', 'clarity', 'solved', 'collated', 'presence', 'specialization', 'stabilization', 'planning', 'enumerates', 'several', 'working', 'transformation', 'requirement', 'consumer', 'scientist', 'smart', 'carbon', 'integrative', 'start', 'business', 'specialist', 'data', 'dominated', 'trace', 'urban', 'five', 'public', 'new', 'transition', 'governance', 'intended', 'web', 'computer', 'emerging', 'literature', 'take', 'chapter', 'phase', 'different', 'point', 'climate', 'big', 'prime', 'development', 'matter', 'egovernance', 'direction', 'city', 'subject', 'related', 'organization', 'broad', 'egovernment', 'distinct', 'like']",citizen accounting conceptual jointly technical energy author discusses rapid benefit prior water issue interactive change definition realm view system functional example expected emergence basic book domain give phase government transaction trend enumerated departure since authored management clarity solved collated presence specialization stabilization planning enumerates several working transformation requirement consumer scientist smart carbon integrative start business specialist data dominated trace urban five public new transition governance intended web computer emerging literature take chapter phase different point climate big prime development matter egovernance direction city subject related organization broad egovernment distinct like
Finding Public Transportation Community Structure Based on Large-Scale Smart Card Records in Beijing,Long Y.,GeoJournal Library,10.1007/978-3-319-19342-7_8,5,False,Beijing Institute of City Planning,Beijing,China,"Public transportation in big cities is a crucial part of urban transportation infrastructures. Exploring the spatiotemporal patterns of public trips can help us to understand dynamic transportation patterns and the complex urban systems thus supporting better urban planning and design. The availability of large-scale smart card data (SCD) offers new opportunities to study intra-urban structure and spatial interaction dynamics. In this research, we applied the novel community detection methods from the study of complex networks to examine the dynamic spatial interaction structures of public transportation communities in the Beijing Metropolitan Area. It can help to find the ground-truth community structure of strongly connected traffic analysis zones by public transportation, which may yield insights for urban planners on land use patterns or for transportation engineers on traffic congestion. We also found that the daily community detection results using SCD are different from that using household travel surveys. The SCD results match better with the planned urban area boundary, which means that the actual operation data of publication transportation might be a good source to validate the urban planning and development.","['boundary', 'availability', 'transportation', 'result', 'opportunity', 'source', 'pattern', 'insight', 'may', 'strongly', 'travel', 'publication', 'supporting', 'find', 'u', 'trip', 'research', 'structure', 'match', 'scd', 'infrastructure', 'intraurban', 'city', 'area', 'validate', 'metropolitan', 'zone', 'structure', 'applied', 'using', 'engineer', 'congestion', 'household', 'system', 'planner', 'analysis', 'dynamic', 'use', 'understand', 'planned', 'also', 'actual', 'card', 'planning', 'interaction', 'traffic', 'smart', 'thus', 'survey', 'operation', 'data', 'novel', 'detection', 'urban', 'examine', 'spatiotemporal', 'public', 'help', 'new', 'crucial', 'mean', 'design', 'spatial', 'land', 'largescale', 'good', 'better', 'connected', 'method', 'community', 'yield', 'groundtruth', 'community', 'complex', 'different', 'exploring', 'daily', 'big', 'development', 'found', 'part', 'might', 'study', 'dynamic', 'beijing', 'network', 'offer']",boundary availability transportation result opportunity source pattern insight may strongly travel publication supporting find u trip research structure match scd infrastructure intraurban city area validate metropolitan zone structure applied using engineer congestion household system planner analysis dynamic use understand planned also actual card planning interaction traffic smart thus survey operation data novel detection urban examine spatiotemporal public help new crucial mean design spatial land largescale good better connected method community yield groundtruth community complex different exploring daily big development found part might study dynamic beijing network offer
Visualization Analysis for Urban Human Traveling Behavior Based on Mobile Phone Data,Wang Y.,"CICTP 2015 - Efficient, Safe, and Green Multimodal Transportation - Proceedings of the 15th COTA International Conference of Transportation Professionals",10.1061/9780784479292.145,6,False,Tsinghua University,Beijing,China,"With the fast development of data acquisition techniques and storage capabilities, more and more human travel related data has been collected. These ""Big Data"" bring both opportunities and challenges for human travel behavior research. In this paper, millions of residents' daily mobile phone records collected in Shanghai are analyzed by four visualization methods to characterize urban human travel behavior patterns. Particularly, this paper studies: 1) the travel OD map that reveals the spatial structure of travel demand, 2) the two-dimensional population density map that characterizes the continuous spatial distribution of residents, 3) the vector field map of resident movement that depicts the local movement feature of residents, 4) the particle graph of resident flow that demonstrates the smooth dynamic movement process of residents. Both the design objectives and the animation techniques for each visualization method are discussed. The findings on residents' travel behaviors could help the government make the appropriate urban planning and help residents make the better daily travel planning.","['movement', 'acquisition', 'opportunity', 'reveals', 'pattern', 'travel', 'feature', 'challenge', 'research', 'discussed', 'map', 'structure', 'demand', 'flow', 'storage', 'twodimensional', 'process', 'resident', 'animation', 'graph', 'behavior', 'bring', 'million', 'government', 'od', 'behavior', 'density', 'characterizes', 'dynamic', 'capability', 'population', 'visualization', 'fast', 'make', 'study', 'local', 'planning', 'characterize', 'particularly', 'phone', 'four', 'data', 'demonstrates', 'urban', 'help', 'collected', 'design', 'appropriate', 'could', 'field', 'human', 'analyzed', 'spatial', 'continuous', 'smooth', 'objective', 'better', 'method', 'vector', 'depicts', 'mobile', 'particle', 'finding', 'daily', 'record', 'big', 'shanghai', 'method', 'development', 'technique', 'distribution', 'paper', 'related', 'resident']",movement acquisition opportunity reveals pattern travel feature challenge research discussed map structure demand flow storage twodimensional process resident animation graph behavior bring million government od behavior density characterizes dynamic capability population visualization fast make study local planning characterize particularly phone four data demonstrates urban help collected design appropriate could field human analyzed spatial continuous smooth objective better method vector depicts mobile particle finding daily record big shanghai method development technique distribution paper related resident
Implementing smart urban metabolism in the Stockholm Royal Seaport: Smart city SRS,Shahrokni H.,Journal of Industrial Ecology,10.1111/jiec.12308,102,False,The Royal Institute of Technology (KTH),Stockholm,Sweden,"For half a century, system scientists have relied on urban metabolism (UM) as a pragmatic framework to support the needed transition toward sustainable urban development. It has been suggested that information and communication technology (ICT) and, more specifically, smart cities can be leveraged in this transition. Given the recent advances in smart cities, smart urban metabolism (SUM) is considered a technology-enabled evolution of the UM framework, overcoming some of its current limitations. Most significantly, the SUM framework works at high temporal (up to real-time) and spatial (down to household/individual) resolutions. This article presents the first implementation of SUM in the Smart City Stockholm Royal Seaport R&D project; it further analyzes barriers and discusses the potential long-term implications of the findings. Four key performance indicators (KPIs) are generated in real time based on the integration of heterogeneous, real-time data sources. These are kilowatt-hours per square meter, carbon dioxide equivalents per capita, kilowatt-hours of primary energy per capita, and share of renewables percentage. These KPIs are fed back on three levels (household, building, and district) on four interfaces, developed for different audiences. The most challenging barrier identified was accessing and integrating siloed data from the different data owners (utilities, building owners, and so forth). It is hard to overcome unless a significant value is perceived. A number of long-term opportunities were described in the SUM context; among those, it is envisioned that SUM could enable a new understanding of the causalities that govern urbanism and allow citizens and city officials to receive feedback on the system consequences of their choices.","['interface', 'information', 'work', 'recent', 'context', 'pragmatic', 'opportunity', 'energy', 'value', 'discusses', 'real', 'identified', 'described', 'allow', 'caput', 'siloed', 'owner', 'performance', 'per', 'number', 'significant', 'suggested', 'utility', 'um', 'support', 'audience', 'integrating', 'percentage', 'city', 'unless', 'high', 'consequence', 'toward', 'among', 'analyzes', 'system', 'time', 'meter', 'realtime', 'official', 'share', 'barrier', 'leveraged', 'potential', 'renewables', 'significantly', 'specifically', 'building', 'first', 'based', 'enable', 'ict', 'half', 'given', 'indicator', 'envisioned', 'longterm', 'citizen', 'implementation', 'evolution', 'sustainable', 'article', 'receive', 'royal', 'household', 'communication', 'householdindividual', 'technology', 'feedback', 'square', 'key', 'overcoming', 'dioxide', 'present', 'project', 'understanding', 'equivalent', 'generated', 'scientist', 'smart', 'source', 'carbon', 'choice', 'primary', 'fed', 'four', 'integration', 'data', 'urban', 'heterogeneous', 'back', 'temporal', 'stockholm', 'kilowatthours', 'accessing', 'overcome', 'new', 'implication', 'perceived', 'transition', 'relied', 'could', 'resolution', 'spatial', 'sum', 'advance', 'seaport', 'framework', 'urbanism', 'hard', 'level', 'technologyenabled', 'current', 'century', 'district', 'three', 'considered', 'govern', 'needed', 'different', 'rd', 'barrier', 'finding', 'metabolism', 'limitation', 'development', 'developed', 'challenging', 'city', 'causality', 'forth', 'kpis']",interface information work recent context pragmatic opportunity energy value discusses real identified described allow caput siloed owner performance per number significant suggested utility um support audience integrating percentage city unless high consequence toward among analyzes system time meter realtime official share barrier leveraged potential renewables significantly specifically building first based enable ict half given indicator envisioned longterm citizen implementation evolution sustainable article receive royal household communication householdindividual technology feedback square key overcoming dioxide present project understanding equivalent generated scientist smart source carbon choice primary fed four integration data urban heterogeneous back temporal stockholm kilowatthours accessing overcome new implication perceived transition relied could resolution spatial sum advance seaport framework urbanism hard level technologyenabled current century district three considered govern needed different rd barrier finding metabolism limitation development developed challenging city causality forth kpis
"Towards a comparative science of cities: Using mobile traffic records in New York, London, and Hong Kong",Grauwin S.,Computational Approaches for Urban Environments,10.1007/978-3-319-11469-9_15,87,False,Massachusetts Institute of Technology,Cambridge,United States,"This chapter examines the possibility to analyze and compare human activities in an urban environment based on the detection of mobile phone usage patterns. Thanks to an unprecedented collection of counter data recording the number of calls, SMS, and data transfers resolved both in time and space, we confirm the connection between temporal activity profile and land usage in three global cities: New York, London, and Hong Kong. By comparing whole cities’ typical patterns, we provide insights on how cultural, technological, and economical factors shape human dynamics. At a more local scale, we use clustering analysis to identify locations with similar patterns within a city. Our research reveals a universal structure of cities, with core financial centers all sharing similar activity patterns and commercial or residential areas with more city-specific patterns. These findings hint that as the economy becomes more global, common patterns emerge in business areas of different cities across the globe, while the impact of local conditions still remains recognizable on the level of routine people activity.","['space', 'core', 'pattern', 'insight', 'reveals', 'recognizable', 'collection', 'research', 'economy', 'whole', 'number', 'structure', 'globe', 'within', 'unprecedented', 'city', 'typical', 'condition', 'transfer', 'environment', 'time', 'clustering', 'level', 'based', 'routine', 'activity', 'sharing', 'location', 'center', 'identify', 'activity', 'cityspecific', 'examines', 'counter', 'commercial', 'profile', 'connection', 'analysis', 'factor', 'confirm', 'use', 'provide', 'financial', 'hint', 'local', 'technological', 'scale', 'usage', 'recording', 'cultural', 'phone', 'compare', 'area', 'business', 'emerge', 'data', 'detection', 'possibility', 'urban', 'remains', 'new', 'temporal', 'hong', 'thanks', 'sm', 'impact', 'human', 'universal', 'land', 'global', 'becomes', 'kong', 'shape', 'mobile', 'three', 'residential', 'analyze', 'resolved', 'people', 'chapter', 'different', 'finding', 'economical', 'similar', 'across', 'comparing', 'still', 'city', 'york', 'dynamic', 'london', 'common', 'call']",space core pattern insight reveals recognizable collection research economy whole number structure globe within unprecedented city typical condition transfer environment time clustering level based routine activity sharing location center identify activity cityspecific examines counter commercial profile connection analysis factor confirm use provide financial hint local technological scale usage recording cultural phone compare area business emerge data detection possibility urban remains new temporal hong thanks sm impact human universal land global becomes kong shape mobile three residential analyze resolved people chapter different finding economical similar across comparing still city york dynamic london common call
MassDOT real time traffic management system,Bond R.,Lecture Notes in Geoinformation and Cartography,10.1007/978-3-319-18368-8_25,3,False,Massachusetts Department of Transportation,Boston,United States,"MassDOT is pursuing an innovative business model that provides real time travel time information to the public using dedicated highway signs covering over 700 miles of state highway and encompassing the entire metropolitan Boston area. This investment in infrastructure means that MassDOT owns and archives these data, maintains and controls their quality, and freely provides them to third party developers in real time. This business model differs from all other state Departments of Transportation (DOT) around the United States that currently purchase travel time data from private companies. The development and operation of this Real Time Traffic Management (RTTM) system has resulted in a shift towards new measures of system performance and has triggered the production of new strategies for multi-modal transportation system management—all in a manner directly supportive of emerging trends: open public data, big data and the development of smart cities.","['control', 'system', 'quality', 'time', 'shift', 'information', 'area', 'transportation', 'entire', 'party', 'management', 'third', 'owns', 'encompassing', 'rttm', 'open', 'dot', 'measure', 'trend', 'freely', 'maintains', 'real', 'sign', 'managementall', 'emerging', 'travel', 'infrastructure', 'investment', 'traffic', 'metropolitan', 'archive', 'towards', 'smart', 'innovative', 'company', 'boston', 'dedicated', 'business', 'private', 'performance', 'manner', 'directly', 'state', 'massdot', 'provides', 'department', 'resulted', 'model', 'state', 'purchase', 'data', 'development', 'operation', 'using', 'multimodal', 'currently', 'highway', 'production', 'public', 'new', 'mean', 'strategy', 'supportive', 'pursuing', 'united', 'covering', 'city', 'big', 'developer', 'triggered', 'mile', 'differs', 'around']",control system quality time shift information area transportation entire party management third owns encompassing rttm open dot measure trend freely maintains real sign managementall emerging travel infrastructure investment traffic metropolitan archive towards smart innovative company boston dedicated business private performance manner directly state massdot provides department resulted model state purchase data development operation using multimodal currently highway production public new mean strategy supportive pursuing united covering city big developer triggered mile differs around
Knowledge-mining the Australian smart grid smart city data: A statistical-neural approach to demand-response analysis,Motlagh O.,Lecture Notes in Geoinformation and Cartography,10.1007/978-3-319-18368-8_10,22,False,Commonwealth Scientific and Industrial Research Organisation,Canberra,Australia,"Large scale field trials of smart grid technologies provide important insights as they capture the complex interdependencies of all the key variables, including consumer behaviours, which are needed for their effective evaluation. We present the Australian Smart Grid Smart City program and describe its big data using a narrative approach to hasten understanding and further analyses by others. Then we present a novel statistical-neural approach to maximise knowledge extraction from large datasets of diurnal load profiles, and demonstrate its use in evaluating the effectiveness of two cost-reflective product offerings, a Network-type and a Retail-type product bundle. The methods of analyses include Principal Component Analysis and Self-Organising Mapping. The results for the mid-winter electricity consumption profiles of participating households in July 2013 in New South Wales showed consumption behaviour changes with up to 12% reduction in relative peak demand at 700 households who accepted the offerings compared to the control group. The resultant load factor of the high consuming outliers improved by about 18% under demand-response compared to the control group. The featurebased classifier also revealed which behavioural components change due to users’ demand-response activities; results compared favourably with third party consumer survey results.","['include', 'capture', 'australian', 'outlier', 'selforganising', 'result', 'participating', 'insight', 'consuming', 'extraction', 'behaviour', 'behavioural', 'interdependency', 'grid', 'compared', 'favourably', 'including', 'mapping', 'others', 'change', 'classifier', 'demand', 'user', 'featurebased', 'program', 'showed', 'survey', 'load', 'high', 'important', 'factor', 'consumption', 'third', 'group', 'evaluating', 'activity', 'using', 'component', 'technology', 'demandresponse', 'revealed', 'analysis', 'approach', 'use', 'resultant', 'provide', 'principal', 'product', 'peak', 'key', 'offering', 'evaluation', 'also', 'due', 'datasets', 'demonstrate', 'scale', 'understanding', 'statisticalneural', 'knowledge', 'smart', 'bundle', 'large', 'data', 'novel', 'networktype', 'diurnal', 'analysis', 'control', 'new', 'present', 'relative', 'field', 'improved', 'midwinter', 'electricity', 'effective', 'consumer', 'effectiveness', 'variable', 'two', 'household', 'retailtype', 'costreflective', 'narrative', 'party', 'method', 'south', 'change', 'accepted', 'describe', 'needed', 'july', 'complex', 'maximise', 'reduction', 'big', 'profile', 'component', 'wale', 'behaviour', 'city', 'trial', 'hasten']",include capture australian outlier selforganising result participating insight consuming extraction behaviour behavioural interdependency grid compared favourably including mapping others change classifier demand user featurebased program showed survey load high important factor consumption third group evaluating activity using component technology demandresponse revealed analysis approach use resultant provide principal product peak key offering evaluation also due datasets demonstrate scale understanding statisticalneural knowledge smart bundle large data novel networktype diurnal analysis control new present relative field improved midwinter electricity effective consumer effectiveness variable two household retailtype costreflective narrative party method south change accepted describe needed july complex maximise reduction big profile component wale behaviour city trial hasten
